Date,Open,High,Low,Close,Adj Close,Volume
2013-12-01,4065.659912,4177.729980,3979.590088,4176.589844,4176.589844,37139280000
2014-01-01,4160.029785,4246.549805,4044.760010,4103.879883,4103.879883,45227610000
2014-02-01,4105.060059,4342.589844,3968.189941,4308.120117,4308.120117,39978180000
2014-03-01,4261.419922,4371.709961,4131.810059,4198.990234,4198.990234,46796180000
2014-04-01,4219.870117,4286.089844,3946.030029,4114.560059,4114.560059,44391220000
2014-05-01,4121.250000,4252.080078,4021.050049,4242.620117,4242.620117,39290130000
2014-06-01,4247.959961,4417.459961,4207.609863,4408.180176,4408.180176,40249370000
2014-07-01,4424.709961,4485.930176,4351.040039,4369.770020,4369.770020,39536410000
2014-08-01,4363.390137,4580.270020,4321.890137,4580.270020,4580.270020,33417300000
2014-09-01,4592.419922,4610.569824,4464.439941,4493.390137,4493.390137,39631130000
2014-10-01,4486.649902,4641.509766,4116.600098,4630.740234,4630.740234,50136190000
2014-11-01,4633.709961,4810.859863,4594.919922,4791.629883,4791.629883,32967990000
2014-12-01,4777.729980,4814.950195,4547.310059,4736.049805,4736.049805,39587090000
2015-01-01,4760.240234,4777.009766,4563.109863,4635.240234,4635.240234,38719030000
2015-02-01,4650.600098,4989.250000,4580.459961,4963.529785,4963.529785,35773090000
2015-03-01,4973.430176,5042.140137,4825.930176,4900.879883,4900.879883,41204240000
2015-04-01,4894.359863,5119.830078,4844.390137,4941.419922,4941.419922,37409760000
2015-05-01,4966.319824,5111.540039,4888.169922,5070.029785,5070.029785,35994540000
2015-06-01,5094.939941,5164.359863,4956.229980,4986.870117,4986.870117,41338820000
2015-07-01,5029.049805,5231.939941,4901.509766,5128.279785,5128.279785,40633420000
2015-08-01,5134.339844,5175.259766,4292.140137,4776.509766,4776.509766,43408300000
2015-09-01,4673.609863,4960.870117,4487.060059,4620.160156,4620.160156,41503920000
2015-10-01,4624.459961,5095.689941,4552.339844,5053.750000,5053.750000,42348240000
2015-11-01,5065.640137,5163.470215,4908.660156,5108.669922,5108.669922,36834860000
2015-12-01,5129.640137,5176.770020,4871.589844,5007.410156,5007.410156,40617940000
2016-01-01,4897.649902,4926.729980,4313.390137,4613.950195,4613.950195,44877130000
2016-02-01,4587.589844,4636.930176,4209.759766,4557.950195,4557.950195,43108650000
2016-03-01,4596.009766,4899.140137,4581.750000,4869.850098,4869.850098,40738880000
2016-04-01,4842.549805,4969.319824,4740.839844,4775.359863,4775.359863,38014300000
2016-05-01,4786.549805,4951.450195,4678.379883,4948.049805,4948.049805,38803240000
2016-06-01,4928.970215,4980.140137,4574.250000,4842.669922,4842.669922,44213900000
2016-07-01,4837.180176,5175.810059,4786.009766,5162.129883,5162.129883,36050040000
2016-08-01,5167.419922,5275.740234,5109.799805,5213.220215,5213.220215,38754780000
2016-09-01,5218.279785,5342.879883,5097.799805,5312.000000,5312.000000,40112010000
2016-10-01,5300.290039,5340.520020,5169.759766,5189.140137,5189.140137,34708450000
2016-11-01,5199.770020,5403.859863,5034.410156,5323.680176,5323.680176,41950260000
2016-12-01,5323.879883,5512.370117,5238.209961,5383.120117,5383.120117,38648510000
2017-01-01,5425.620117,5669.609863,5397.990234,5614.790039,5614.790039,36115440000
2017-02-01,5654.509766,5867.890137,5616.399902,5825.439941,5825.439941,36811150000
2017-03-01,5874.859863,5928.060059,5769.390137,5911.740234,5911.740234,44064880000
2017-04-01,5917.319824,6074.040039,5805.149902,6047.609863,6047.609863,33894020000
2017-05-01,6067.560059,6221.990234,5996.810059,6198.520020,6198.520020,42405030000
2017-06-01,6215.910156,6341.700195,6087.810059,6140.419922,6140.419922,50292320000
2017-07-01,6173.290039,6460.839844,6081.959961,6348.120117,6348.120117,36228200000
2017-08-01,6372.160156,6435.270020,6177.189941,6428.660156,6428.660156,41368170000
2017-09-01,6442.169922,6497.979980,6334.589844,6495.959961,6495.959961,38354650000
2017-10-01,6506.080078,6737.750000,6484.140137,6727.669922,6727.669922,41620780000
2017-11-01,6758.640137,6914.189941,6667.310059,6873.970215,6873.970215,42080670000
2017-12-01,6844.040039,7003.890137,6734.129883,6903.390137,6903.390137,38755950000
2018-01-01,6937.649902,7505.770020,6924.080078,7411.479980,7411.479980,44694030000
2018-02-01,7377.169922,7441.089844,6630.669922,7273.009766,7273.009766,44063140000
2018-03-01,7274.750000,7637.270020,6901.069824,7063.450195,7063.450195,48760550000
2018-04-01,7016.169922,7319.580078,6805.959961,7066.270020,7066.270020,43233040000
2018-05-01,7053.649902,7492.419922,6991.140137,7442.120117,7442.120117,45761130000
2018-06-01,7487.660156,7806.600098,7419.560059,7510.299805,7510.299805,48573740000
2018-07-01,7451.899902,7933.310059,7443.100098,7671.790039,7671.790039,38964090000
2018-08-01,7701.819824,8133.299805,7659.520020,8109.540039,8109.540039,46197780000
2018-09-01,8087.950195,8104.069824,7873.930176,8046.350098,8046.350098,44907360000
2018-10-01,8091.500000,8107.379883,6922.830078,7305.899902,7305.899902,61889960000
2018-11-01,7327.819824,7572.930176,6830.759766,7330.540039,7330.540039,48901700000
2018-12-01,7486.129883,7486.509766,6190.169922,6635.279785,6635.279785,49224830000
2019-01-01,6506.910156,7303.120117,6457.129883,7281.740234,7281.740234,49542480000
2019-02-01,7256.370117,7602.689941,7225.140137,7532.529785,7532.529785,42628810000
2019-03-01,7587.450195,7850.109863,7332.919922,7729.319824,7729.319824,49622660000
2019-04-01,7800.240234,8176.080078,7777.089844,8095.390137,8095.390137,43553400000
2019-05-01,8132.930176,8164.709961,7448.229980,7453.149902,7453.149902,47822630000
2019-06-01,7441.209961,8088.879883,7292.220215,8006.240234,8006.240234,44821400000
2019-07-01,8145.850098,8339.639648,8059.290039,8175.419922,8175.419922,42846360000
2019-08-01,8190.560059,8311.040039,7662.899902,7962.879883,7962.879883,46323300000
2019-09-01,7906.439941,8243.799805,7847.319824,7999.339844,7999.339844,41720490000
2019-10-01,8026.830078,8335.559570,7700.000000,8292.360352,8292.360352,44203530000
2019-11-01,8335.049805,8705.910156,8326.559570,8665.469727,8665.469727,41773310000
2019-12-01,8672.839844,9052.000000,8435.400391,8972.599609,8972.599609,46214040000
2020-01-01,9039.459961,9451.429688,8943.500000,9150.940430,9150.940430,52694760000
2020-02-01,9190.719727,9838.370117,8264.160156,8567.370117,8567.370117,53886320000
2020-03-01,8667.139648,9070.320313,6631.419922,7700.100098,7700.100098,97320230000
2020-04-01,7459.500000,8957.269531,7288.109863,8889.549805,8889.549805,79171670000
2020-05-01,8681.290039,9523.639648,8537.830078,9489.870117,9489.870117,81175640000
2020-06-01,9471.419922,10221.849609,9403.000000,10058.769531,10058.769531,112284350000
2020-07-01,10063.669922,10839.929688,10048.040039,10745.269531,10745.269531,95054280000
2020-08-01,10848.639648,11829.839844,10762.709961,11775.459961,11775.459961,78996130000
2020-09-01,11850.959961,12074.059570,10519.490234,11167.509766,11167.509766,82496920000
2020-10-01,11291.990234,11965.540039,10822.570313,10911.589844,10911.589844,78287400000
2020-11-01,11010.450195,12244.650391,10830.950195,12198.740234,12198.740234,91282630000
2020-12-01,12313.360352,12973.330078,12214.740234,12888.280273,12888.280273,112635010000
2021-01-01,12958.519531,13728.980469,12543.240234,13070.690430,13070.690430,139796850000
2021-02-01,13226.179688,14175.120117,13003.980469,13192.349609,13192.349609,142926770000
2021-03-01,13406.160156,13620.709961,12397.049805,13246.870117,13246.870117,134201470000
2021-04-01,13414.320313,14211.570313,13404.179688,13962.679688,13962.679688,91591470000
2021-05-01,14031.769531,14042.120117,13002.540039,13748.740234,13748.740234,89415440000
2021-06-01,13829.059570,14535.969727,13548.929688,14503.950195,14503.950195,108377000000
2021-07-01,14493.690430,14863.650391,14178.660156,14672.679688,14672.679688,88708530000
2021-08-01,14758.599609,15288.080078,14423.160156,15259.240234,15259.240234,88083480000
2021-09-01,15308.980469,15403.440430,14444.299805,14448.580078,14448.580078,95275100000
2021-10-01,14494.929688,15504.120117,14181.690430,15498.389648,15498.389648,99492020000
2021-11-01,15541.259766,16212.230469,15451.389648,15537.690430,15537.690430,109314860000
2021-12-01,15752.269531,15901.469727,14860.040039,15644.969727,15644.969727,104264460000
2022-01-01,15732.500000,15852.139648,13094.650391,14239.879883,14239.879883,100106820000
2022-02-01,14277.429688,14509.559570,12587.879883,13751.400391,13751.400391,89543300000
2022-03-01,13716.700195,14646.900391,12555.349609,14220.519531,14220.519531,131081330000
2022-04-01,14269.530273,14534.379883,12315.740234,12334.639648,12334.639648,96581010000
2022-05-01,12331.690430,12985.009766,11035.690430,12081.389648,12081.389648,111465680000
2022-06-01,12176.889648,12320.120117,10565.139648,11028.740234,11028.740234,113875890000
2022-07-01,11006.830078,12426.259766,10911.450195,12390.690430,12390.690430,94293720000
2022-08-01,12317.959961,13181.089844,11790.019531,11816.200195,11816.200195,110367680000
2022-09-01,11707.440430,12270.190430,10572.330078,10575.620117,10575.620117,98888530000
2022-10-01,10659.009766,11230.440430,10088.830078,10988.150391,10988.150391,98292380000
2022-11-01,11154.740234,11492.620117,10262.929688,11468.000000,11468.000000,101572370000
2022-12-01,11475.169922,11571.639648,10207.469727,10466.480469,10466.480469,100007430000
2023-01-01,10562.059570,11691.889648,10265.040039,11584.549805,11584.549805,106732920000
2023-02-01,11573.139648,12269.549805,11334.469727,11455.540039,11455.540039,99644100000
2023-03-01,11447.580078,12013.990234,10982.799805,11787.400391,11787.400391,92839060000
